"Hospital","patient_count","unique_doctor_count","medical_condition_count","total_billing_amount","average_billing_amount","average_patient_age","average_length_of_stay","first_admission_date","last_admission_date"
Hernandez-Stevens,1,1,1,44084.30,44084.31,71.0,26,2020-10-18,2020-10-18
Hernandez-Stewart,1,1,1,37545.40,37545.36,49.0,30,2023-08-16,2023-08-16
Hernandez-Thompson,4,3,2,98755.80,24688.96,70.0,13,2021-03-08,2022-03-28
Hernandez-Todd,1,1,1,14632.00,14631.96,55.0,20,2021-07-17,2021-07-17
Hernandez-Torres,1,1,1,29746.30,29746.30,71.0,18,2020-11-02,2020-11-02
Hernandez-Valdez,1,1,1,14697.50,14697.46,72.0,4,2020-09-17,2020-09-17
Hernandez-Valenzuela,1,1,1,15867.10,15867.10,31.0,15,2019-06-16,2019-06-16
Hernandez-Vaughn,1,1,1,16447.60,16447.55,26.0,10,2022-02-28,2022-02-28
Hernandez-Villegas,2,1,1,39400.30,19700.16,23.5,28,2022-12-14,2022-12-14
Hernandez-Wagner,1,1,1,18330.70,18330.74,62.0,2,2020-04-16,2020-04-16
Hernandez-Wall,1,1,1,850.03,850.03,81.0,10,2022-12-19,2022-12-19
Hernandez-Wallace,2,2,2,61324.70,30662.33,65.0,12,2021-11-08,2024-03-23
Hernandez-Webster,1,1,1,33289.80,33289.82,80.0,1,2022-02-04,2022-02-04
Hernandez-Werner,1,1,1,4121.46,4121.46,84.0,21,2020-08-23,2020-08-23
Hernandez-White,3,3,3,59704.70,19901.55,40.0,10,2019-08-14,2021-01-17
Hernandez-Wood,1,1,1,13325.50,13325.47,47.0,9,2021-08-23,2021-08-23
"Hernandez and Austin Young,",1,1,1,12410.50,12410.47,35.0,14,2023-03-19,2023-03-19
"Hernandez and Cruz Murphy,",1,1,1,23712.50,23712.54,81.0,14,2023-01-26,2023-01-26
"Hernandez and Delacruz, Kramer",1,1,1,24451.30,24451.29,22.0,14,2021-05-14,2021-05-14
"Hernandez and Erickson May,",1,1,1,10493.60,10493.57,75.0,29,2022-01-02,2022-01-02
"Hernandez and Gray Bennett,",2,1,1,51218.20,25609.09,82.0,15,2022-05-02,2022-05-02
"Hernandez and Lawrence Flores,",1,1,1,8015.30,8015.30,29.0,20,2019-09-25,2019-09-25
"Hernandez and Marsh, Kim",1,1,1,39492.50,39492.47,39.0,15,2022-08-24,2022-08-24
"Hernandez and Martin Blackwell,",1,1,1,36816.40,36816.35,67.0,13,2020-12-23,2020-12-23
"Hernandez and Martinez White,",2,1,1,72152.20,36076.09,24.5,16,2020-11-19,2020-11-19
"Hernandez and Nichols Moore,",1,1,1,41099.30,41099.31,40.0,16,2020-11-30,2020-11-30
"Hernandez and Oconnor, Morris",1,1,1,11978.50,11978.54,42.0,4,2019-11-07,2019-11-07
"Hernandez and Parker Davidson,",1,1,1,36810.40,36810.38,27.0,20,2023-09-28,2023-09-28
"Hernandez and Peterson, Palmer",2,1,1,81810.90,40905.44,44.5,11,2024-04-09,2024-04-09
"Hernandez and Randolph, Butler",2,1,1,34511.60,17255.79,64.5,26,2022-02-18,2022-02-18
"Hernandez and Reid Edwards,",1,1,1,14877.30,14877.35,21.0,6,2020-07-23,2020-07-23
Hernandez and Sons,4,4,3,136088.00,34022.06,51.8,23,2019-08-23,2023-10-22
"Hernandez and Wilson, Nguyen",1,1,1,23746.60,23746.56,82.0,19,2021-07-02,2021-07-02
"Hernandez Anderson Horton, and",1,1,1,43032.50,43032.52,66.0,24,2019-05-11,2019-05-11
"Hernandez Anderson Owens, and",1,1,1,40108.80,40108.83,29.0,29,2023-01-14,2023-01-14
"Hernandez Anderson, and Rush",1,1,1,32157.00,32156.99,28.0,22,2023-01-20,2023-01-20
"Hernandez Bowen, Castillo and",1,1,1,24103.90,24103.86,60.0,17,2024-03-26,2024-03-26
"Hernandez Brown, and Norman",1,1,1,46947.00,46947.04,48.0,5,2023-02-03,2023-02-03
"Hernandez Carter, and Taylor",1,1,1,42878.00,42878.04,23.0,14,2020-01-27,2020-01-27
"Hernandez Clark Durham, and",2,1,1,5344.82,2672.41,71.5,25,2022-12-19,2022-12-19
"Hernandez Cox Wallace, and",1,1,1,31610.10,31610.07,85.0,15,2022-06-29,2022-06-29
"Hernandez Cruz, Hull and",1,1,1,25116.00,25116.01,52.0,15,2024-03-25,2024-03-25
"Hernandez Davis, Vega and",1,1,1,46444.90,46444.85,50.0,25,2020-05-06,2020-05-06
"Hernandez Dean, Phillips and",1,1,1,1519.98,1519.98,27.0,30,2019-05-20,2019-05-20
"Hernandez Ellis Thomas, and",2,1,1,44676.90,22338.44,33.0,4,2022-10-15,2022-10-15
"Hernandez Ford, and Pena",1,1,1,17488.30,17488.28,64.0,16,2020-08-05,2020-08-05
"Hernandez Foster, and Martin",2,1,1,58386.80,29193.39,66.5,26,2021-12-03,2021-12-03
"Hernandez Glass, and Porter",1,1,1,34705.80,34705.84,44.0,23,2020-04-01,2020-04-01
Hernandez Group,6,6,4,118078.00,19679.68,48.3,16,2020-07-21,2023-02-12
"Hernandez Henderson, and Smith",1,1,1,4331.37,4331.37,49.0,24,2020-02-23,2020-02-23
"Hernandez Hernandez and Medina,",2,1,1,47405.50,23702.77,23.5,14,2023-08-21,2023-08-21
Hernandez Inc,7,6,5,158185.00,22597.79,35.7,13,2020-01-19,2023-10-06
"Hernandez Johnson, Edwards and",1,1,1,8019.29,8019.29,79.0,13,2022-06-15,2022-06-15
"Hernandez Kelly Oneal, and",1,1,1,16468.20,16468.22,33.0,12,2021-08-15,2021-08-15
"Hernandez Lewis and Campbell,",1,1,1,23034.20,23034.18,34.0,10,2024-02-27,2024-02-27
Hernandez LLC,6,4,2,83137.50,13856.24,46.7,19,2019-08-26,2023-12-28
Hernandez Ltd,15,11,6,463170.00,30877.99,54.5,20,2019-09-18,2024-03-07
"Hernandez Montoya, and Escobar",1,1,1,11872.80,11872.83,78.0,30,2023-12-08,2023-12-08
"Hernandez Padilla, and Green",2,1,1,97703.80,48851.88,29.5,9,2022-09-20,2022-09-20
Hernandez PLC,12,12,5,305878.00,25489.86,39.1,13,2019-07-26,2024-05-03
"Hernandez Randolph and Blair,",1,1,1,40182.50,40182.51,40.0,17,2019-08-01,2019-08-01
"Hernandez Richard Simmons, and",1,1,1,651.92,651.92,55.0,16,2022-07-21,2022-07-21
"Hernandez Rivera and Munoz,",1,1,1,37487.60,37487.62,35.0,11,2024-04-16,2024-04-16
"Hernandez Robinson and Washington,",1,1,1,29031.60,29031.60,78.0,3,2021-12-13,2021-12-13
"Hernandez Rogers and Vang,",1,1,1,37909.80,37909.78,28.0,30,2020-11-18,2020-11-18
"Hernandez Salinas, and Stevenson",1,1,1,22407.00,22407.03,45.0,5,2020-12-13,2020-12-13
"Hernandez Sanchez, Thomas and",1,1,1,40840.90,40840.88,22.0,13,2019-06-22,2019-06-22
"Hernandez Short Cooper, and",1,1,1,45316.10,45316.11,36.0,7,2019-06-12,2019-06-12
Hernandez Sons and,2,2,1,83708.40,41854.20,79.0,19,2020-12-09,2023-11-29
"Hernandez Stewart, and Gentry",1,1,1,24301.30,24301.27,57.0,3,2021-02-14,2021-02-14
"Hernandez Wheeler and Johnson,",1,1,1,19745.30,19745.28,40.0,19,2023-06-22,2023-06-22
"Hernandez Wong Allen, and",1,1,1,35335.20,35335.18,45.0,18,2021-04-23,2021-04-23
"Hernandez, Adams Barnett and",1,1,1,7743.75,7743.75,68.0,9,2022-06-10,2022-06-10
"Hernandez, and Allen Brewer",1,1,1,1073.80,1073.80,75.0,17,2020-11-25,2020-11-25
"Hernandez, and Alvarez George",1,1,1,49053.00,49052.98,60.0,25,2020-06-18,2020-06-18
"Hernandez, and Baker Anderson",1,1,1,21426.60,21426.60,79.0,15,2022-11-29,2022-11-29
"Hernandez, and Clark Herrera",1,1,1,11118.10,11118.10,71.0,22,2022-01-13,2022-01-13
"Hernandez, and Coleman Travis",2,1,1,42372.60,21186.31,32.0,9,2023-01-18,2023-01-18
"Hernandez, and Hill Marshall",1,1,1,37981.10,37981.09,43.0,2,2020-12-31,2020-12-31
"Hernandez, and Kirby Soto",1,1,1,36059.50,36059.52,48.0,10,2020-04-23,2020-04-23
"Hernandez, and Lee Carr",1,1,1,38401.40,38401.39,72.0,1,2020-05-06,2020-05-06
"Hernandez, and Lucas Palmer",1,1,1,17809.60,17809.64,37.0,14,2023-04-07,2023-04-07
"Hernandez, and Smith Noble",1,1,1,48636.10,48636.05,79.0,5,2019-11-09,2019-11-09
"Hernandez, and Taylor Smith",1,1,1,9715.94,9715.94,80.0,15,2023-03-17,2023-03-17
"Hernandez, Boyd Williams and",2,1,1,40587.30,20293.64,83.0,8,2021-06-13,2021-06-13
"Hernandez, Contreras and Pierce",1,1,1,43507.80,43507.77,52.0,21,2020-12-31,2020-12-31
"Hernandez, Flores and Green",1,1,1,31295.20,31295.20,23.0,10,2019-07-15,2019-07-15
"Hernandez, Jones Garrett and",1,1,1,4577.47,4577.47,38.0,1,2019-10-24,2019-10-24
"Hernandez, Lane Nelson and",1,1,1,44498.90,44498.94,36.0,4,2022-07-31,2022-07-31
"Hernandez, Lopez Garrett and",1,1,1,30763.10,30763.05,76.0,28,2022-06-29,2022-06-29
"Hernandez, Lynch and Hardy",1,1,1,25411.10,25411.08,20.0,19,2021-10-22,2021-10-22
"Hernandez, Mccann and Garcia",1,1,1,8017.33,8017.33,48.0,14,2023-08-30,2023-08-30
"Hernandez, Parks and Moore",1,1,1,32144.70,32144.70,52.0,5,2022-06-30,2022-06-30
"Hernandez, Perez Acosta and",1,1,1,30087.10,30087.06,18.0,15,2023-12-26,2023-12-26
"Hernandez, Pope Garcia and",1,1,1,50715.90,50715.88,74.0,29,2022-07-22,2022-07-22
"Hernandez, Rich and Young",1,1,1,45828.70,45828.68,26.0,27,2020-08-26,2020-08-26
"Hernandez, Ritter and Huffman",2,1,1,50851.50,25425.73,67.5,8,2021-11-13,2021-11-13
"Hernandez, Sanchez Hays and",1,1,1,42860.20,42860.24,29.0,19,2019-08-30,2019-08-30
"Hernandez, Santos Mullen and",1,1,1,21794.40,21794.43,73.0,5,2019-05-26,2019-05-26
"Hernandez, Singh Meza and",1,1,1,31370.10,31370.13,29.0,9,2019-09-08,2019-09-08
"Hernandez, Smith Reed and",1,1,1,1322.16,1322.16,55.0,9,2023-11-17,2023-11-17
"Hernandez, Wilson Simmons and",1,1,1,4242.49,4242.49,71.0,28,2021-09-02,2021-09-02
Herrera-Adams,1,1,1,20142.60,20142.58,21.0,19,2022-04-16,2022-04-16
Herrera-Alvarado,1,1,1,16428.20,16428.15,80.0,24,2021-02-08,2021-02-08
Herrera-Anderson,1,1,1,21700.30,21700.26,25.0,21,2021-03-18,2021-03-18
Herrera-Castillo,1,1,1,16348.50,16348.45,26.0,2,2020-06-07,2020-06-07
Herrera-Chandler,1,1,1,44257.10,44257.11,85.0,16,2020-09-24,2020-09-24
Herrera-Chang,1,1,1,27771.70,27771.70,18.0,21,2019-12-19,2019-12-19
Herrera-Dudley,1,1,1,45260.10,45260.06,65.0,23,2022-10-31,2022-10-31
Herrera-Freeman,1,1,1,45108.90,45108.93,77.0,18,2019-07-28,2019-07-28
Herrera-Gutierrez,1,1,1,22438.70,22438.66,41.0,26,2019-09-25,2019-09-25
Herrera-Hall,1,1,1,16076.00,16075.97,68.0,1,2023-03-23,2023-03-23
Herrera-Hays,1,1,1,19567.20,19567.20,82.0,8,2022-12-03,2022-12-03
Herrera-Hernandez,1,1,1,29965.80,29965.76,32.0,5,2023-12-11,2023-12-11
Herrera-Jones,1,1,1,42099.80,42099.79,34.0,15,2019-06-04,2019-06-04
Herrera-Lucas,1,1,1,17434.10,17434.09,24.0,13,2021-11-12,2021-11-12
Herrera-Malone,1,1,1,16949.20,16949.19,39.0,28,2023-06-29,2023-06-29
Herrera-Meadows,1,1,1,11225.40,11225.44,81.0,23,2020-10-20,2020-10-20
Herrera-Miranda,1,1,1,48964.80,48964.84,52.0,18,2019-11-01,2019-11-01
Herrera-Myers,1,1,1,15723.00,15722.95,71.0,9,2021-08-23,2021-08-23
Herrera-Rivera,1,1,1,38412.80,38412.80,74.0,29,2020-11-10,2020-11-10
Herrera-Robertson,1,1,1,38810.20,38810.21,53.0,24,2021-08-14,2021-08-14
Herrera-Rodriguez,1,1,1,26097.60,26097.58,85.0,8,2024-03-17,2024-03-17
Herrera-Sanders,1,1,1,2513.84,2513.84,75.0,28,2022-06-17,2022-06-17
Herrera-Shaw,2,1,1,11457.00,5728.49,30.0,13,2020-10-30,2020-10-30
Herrera-Smith,2,1,1,11194.30,5597.15,34.0,17,2022-10-21,2022-10-21
Herrera-Stewart,1,1,1,10630.20,10630.24,69.0,20,2024-02-26,2024-02-26
Herrera-Vance,1,1,1,27741.50,27741.50,77.0,22,2022-01-03,2022-01-03
Herrera-Wang,1,1,1,5822.62,5822.62,37.0,30,2024-02-15,2024-02-15
Herrera-Young,2,2,2,45251.40,22625.68,61.5,12,2021-12-25,2023-01-18
"Herrera and Ayers Miller,",1,1,1,576.91,576.91,29.0,16,2019-11-11,2019-11-11
"Herrera and Carter Briggs,",1,1,1,44688.30,44688.33,32.0,22,2022-10-31,2022-10-31
"Herrera and Gray, Howell",1,1,1,47900.60,47900.58,81.0,13,2024-01-21,2024-01-21
"Herrera and Hughes Perkins,",2,1,1,89014.40,44507.18,53.0,22,2021-07-15,2021-07-15
"Herrera and Martinez, Mcdonald",1,1,1,18406.60,18406.56,44.0,19,2023-05-23,2023-05-23
"Herrera and Morgan, Cook",2,1,1,11592.40,5796.19,48.5,26,2023-06-01,2023-06-01
"Herrera and Patterson, Ellis",1,1,1,33204.80,33204.84,70.0,29,2023-10-28,2023-10-28
"Herrera and Ward Valenzuela,",2,1,1,18820.80,9410.39,42.0,16,2021-07-15,2021-07-15
"Herrera and Young, Valdez",1,1,1,29174.50,29174.47,63.0,22,2023-09-13,2023-09-13
"Herrera Garcia Cochran, and",2,1,1,49580.30,24790.13,23.5,14,2022-06-09,2022-06-09
Herrera Group,2,2,2,55453.80,27726.92,61.0,3,2022-01-05,2024-03-31
"Herrera Nguyen and Smith,",1,1,1,48359.20,48359.21,28.0,19,2024-01-23,2024-01-23
"Herrera Owen and Carr,",1,1,1,43461.60,43461.65,78.0,28,2019-09-07,2019-09-07
"Herrera Pearson Collins, and",1,1,1,38201.30,38201.26,22.0,14,2019-07-25,2019-07-25
Herrera PLC,2,2,2,6175.49,3087.74,32.5,13,2019-12-24,2020-11-17
"Herrera Tyler, Owens and",1,1,1,15616.70,15616.74,60.0,2,2021-08-18,2021-08-18
"Herrera Wall and Morgan,",1,1,1,18517.20,18517.16,36.0,2,2024-01-19,2024-01-19
"Herrera White Bryant, and",1,1,1,5917.56,5917.56,70.0,11,2021-07-27,2021-07-27
"Herrera, and Bowen Lane",1,1,1,6462.02,6462.02,44.0,21,2021-01-15,2021-01-15
"Herrera, and Martinez Hess",1,1,1,43244.40,43244.44,58.0,23,2022-10-03,2022-10-03
"Herrera, and Welch Waller",1,1,1,13180.10,13180.07,83.0,15,2022-05-20,2022-05-20
"Herrera, Barber Hoover and",1,1,1,18093.10,18093.12,61.0,11,2022-04-06,2022-04-06
"Herrera, Hines Kerr and",1,1,1,5222.87,5222.87,60.0,17,2023-11-21,2023-11-21
"Herrera, Morton Cruz and",2,1,1,29585.90,14792.97,35.0,18,2020-08-07,2020-08-07
"Herrera, Sanchez Griffith and",1,1,1,28245.90,28245.87,43.0,9,2020-03-27,2020-03-27
Herring-Green,2,1,1,55464.70,27732.35,42.0,11,2023-09-04,2023-09-04
Herring-Johnson,1,1,1,41798.30,41798.30,57.0,17,2020-10-21,2020-10-21
Herring-Norman,1,1,1,2114.21,2114.21,79.0,11,2024-03-03,2024-03-03
Herring-Olson,1,1,1,19280.50,19280.53,62.0,21,2020-01-13,2020-01-13
Herring-Peterson,1,1,1,14978.20,14978.22,66.0,16,2019-07-23,2019-07-23
Herring-Smith,1,1,1,22475.90,22475.88,53.0,29,2021-02-28,2021-02-28
Herring-Watts,1,1,1,38654.70,38654.74,30.0,10,2022-11-03,2022-11-03
"Herring Cruz Taylor, and",1,1,1,47411.80,47411.75,57.0,26,2019-09-28,2019-09-28
Herring Ltd,1,1,1,24683.00,24683.02,48.0,28,2019-09-20,2019-09-20
"Herring Walker, Richards and",1,1,1,20578.80,20578.79,43.0,30,2019-08-08,2019-08-08
"Herring, and Mccullough Trevino",1,1,1,17025.70,17025.66,22.0,6,2024-01-14,2024-01-14
Hess-Fuller,1,1,1,42440.80,42440.77,54.0,24,2023-06-27,2023-06-27
Hess-Gallagher,1,1,1,23798.10,23798.12,82.0,27,2024-02-21,2024-02-21
Hess-Garrett,1,1,1,7594.87,7594.87,41.0,17,2024-01-15,2024-01-15
Hess-Nichols,1,1,1,20097.50,20097.47,38.0,17,2019-07-24,2019-07-24
Hess-Ruiz,1,1,1,13157.60,13157.63,72.0,13,2019-06-07,2019-06-07
Hess-Smith,2,1,1,62165.30,31082.66,81.5,21,2020-10-07,2020-10-07
Hess-White,1,1,1,12422.80,12422.76,47.0,6,2023-04-27,2023-04-27
Hess-Wilson,1,1,1,25694.50,25694.50,40.0,22,2020-05-08,2020-05-08
"Hess and Hamilton Allison,",1,1,1,18748.80,18748.85,60.0,24,2022-09-23,2022-09-23
"Hess and Kidd, Ford",2,1,1,11729.20,5864.62,48.5,2,2020-09-09,2020-09-09
"Hess and Sexton, Le",1,1,1,39979.60,39979.64,66.0,8,2019-12-23,2019-12-23
"Hess Cole, Herring and",1,1,1,37778.10,37778.11,26.0,17,2024-03-05,2024-03-05
Hess Group,2,1,1,73001.90,36500.95,55.0,14,2024-01-06,2024-01-06
Hess Inc,1,1,1,35981.70,35981.70,18.0,4,2021-03-22,2021-03-22
Hess Sons and,1,1,1,26697.20,26697.18,58.0,27,2020-05-15,2020-05-15
"Hess White and Drake,",1,1,1,8091.81,8091.81,38.0,11,2021-04-20,2021-04-20
"Hess Wilcox, and Richards",1,1,1,20380.60,20380.55,55.0,18,2020-02-26,2020-02-26
Hester-Graham,1,1,1,43414.30,43414.31,69.0,27,2021-03-09,2021-03-09
Hester-Larson,1,1,1,31676.00,31676.02,42.0,18,2020-10-28,2020-10-28
Hester-Morgan,1,1,1,27704.00,27703.96,69.0,9,2024-03-10,2024-03-10
Hester-Roberts,1,1,1,18763.80,18763.77,77.0,30,2019-06-29,2019-06-29
Hester-Silva,1,1,1,22207.10,22207.08,72.0,29,2023-05-22,2023-05-22
Hester and Sons,1,1,1,28927.80,28927.75,31.0,24,2024-01-31,2024-01-31
Hester Group,1,1,1,17271.20,17271.22,42.0,1,2020-01-26,2020-01-26
Hester Ltd,2,2,2,41747.90,20873.97,76.0,13,2019-08-18,2023-10-26
"Hester, Patel and Robinson",2,1,1,18674.60,9337.28,52.5,15,2020-07-28,2020-07-28
"Hester, Thomas Richards and",1,1,1,47122.80,47122.78,45.0,22,2021-10-09,2021-10-09
Hickman-Briggs,1,1,1,33713.10,33713.10,50.0,25,2020-08-29,2020-08-29
Hickman-Clark,2,2,2,41807.50,20903.77,21.0,19,2020-04-23,2020-10-08
Hickman-Jackson,1,1,1,48656.50,48656.50,45.0,15,2022-04-26,2022-04-26
Hickman-Myers,2,1,1,36503.00,18251.49,79.0,7,2022-09-20,2022-09-20
Hickman-Schmitt,1,1,1,48222.20,48222.24,66.0,30,2020-07-03,2020-07-03
Hickman-Snyder,1,1,1,8583.16,8583.16,21.0,25,2020-03-26,2020-03-26
"Hickman and Matthews Wilson,",1,1,1,22829.90,22829.91,78.0,15,2019-08-12,2019-08-12
Hickman Group,1,1,1,5164.55,5164.55,51.0,27,2024-02-21,2024-02-21
"Hickman Gutierrez, Schultz and",1,1,1,27019.80,27019.79,70.0,27,2023-05-09,2023-05-09
Hicks-Anderson,2,2,1,70226.50,35113.25,52.0,16,2022-04-11,2023-07-23
Hicks-Bennett,2,1,1,79003.50,39501.74,33.5,22,2021-11-07,2021-11-07
Hicks-Caldwell,1,1,1,16326.00,16325.97,51.0,3,2023-02-28,2023-02-28
Hicks-Carter,1,1,1,3457.79,3457.79,32.0,28,2022-05-04,2022-05-04
Hicks-Cervantes,1,1,1,39189.60,39189.62,37.0,21,2020-08-05,2020-08-05
Hicks-Dunn,1,1,1,32123.20,32123.25,22.0,10,2020-05-24,2020-05-24
Hicks-Frederick,1,1,1,42805.40,42805.39,25.0,26,2021-11-02,2021-11-02
Hicks-Freeman,1,1,1,10685.40,10685.44,60.0,13,2022-05-17,2022-05-17
Hicks-Garcia,1,1,1,29484.40,29484.41,30.0,27,2021-01-06,2021-01-06
Hicks-Garrett,1,1,1,33586.10,33586.07,57.0,11,2022-04-20,2022-04-20
Hicks-Harrison,1,1,1,35012.10,35012.10,52.0,27,2019-06-08,2019-06-08
Hicks-Hayes,1,1,1,18748.80,18748.76,39.0,10,2024-04-26,2024-04-26
Hicks-Jones,2,2,2,64992.20,32496.12,66.5,24,2021-07-11,2022-01-17
Hicks-Kelly,1,1,1,33080.90,33080.87,85.0,2,2022-11-03,2022-11-03
Hicks-Krueger,1,1,1,12158.90,12158.86,40.0,1,2019-05-22,2019-05-22
Hicks-Myers,1,1,1,11323.50,11323.51,54.0,15,2022-09-05,2022-09-05
Hicks-Noble,1,1,1,49167.10,49167.13,45.0,5,2023-05-23,2023-05-23
Hicks-Perez,1,1,1,20086.20,20086.22,19.0,11,2021-02-04,2021-02-04
Hicks-Phillips,1,1,1,43000.20,43000.18,22.0,15,2023-07-10,2023-07-10
Hicks-Porter,1,1,1,22940.40,22940.42,75.0,3,2021-06-21,2021-06-21
Hicks-Salas,2,2,2,62272.60,31136.28,79.5,22,2021-05-30,2024-04-30
Hicks-Williamson,1,1,1,36585.80,36585.79,19.0,9,2020-12-17,2020-12-17
"Hicks and Ellison, Harris",1,1,1,41781.40,41781.42,34.0,16,2023-06-15,2023-06-15
"Hicks and Lee Price,",1,1,1,35770.60,35770.55,40.0,30,2020-01-16,2020-01-16
"Hicks and Powers, Dixon",1,1,1,27056.30,27056.32,44.0,4,2020-01-13,2020-01-13
"Hicks Campbell Smith, and",2,1,1,50341.90,25170.93,67.5,14,2022-12-30,2022-12-30
"Hicks Flores and Parker,",1,1,1,33378.00,33378.04,67.0,29,2021-07-04,2021-07-04
"Hicks Foster, and White",1,1,1,12166.40,12166.42,62.0,30,2023-04-28,2023-04-28
Hicks Group,1,1,1,24254.10,24254.13,66.0,7,2020-09-17,2020-09-17
"Hicks Hancock, and Williams",1,1,1,6726.46,6726.46,33.0,7,2021-06-03,2021-06-03
Hicks Inc,1,1,1,8069.92,8069.92,82.0,7,2020-09-04,2020-09-04
"Hicks Kidd and Allen,",1,1,1,47191.80,47191.77,21.0,27,2019-10-27,2019-10-27
"Hicks Mccarty Olsen, and",2,1,1,94738.00,47369.01,75.0,28,2019-06-17,2019-06-17
"Hicks Mitchell, Chan and",1,1,1,43051.10,43051.09,25.0,26,2021-07-22,2021-07-22
"Hicks Moreno Stein, and",1,1,1,33347.30,33347.27,82.0,7,2021-01-04,2021-01-04
"Hicks Sanford, and Flores",2,1,1,44839.10,22419.56,32.0,24,2023-10-12,2023-10-12
"Hicks, and Harris Manning",1,1,1,16871.60,16871.59,81.0,15,2023-04-20,2023-04-20
"Hicks, Brady and Brown",1,1,1,3980.45,3980.45,82.0,11,2020-08-25,2020-08-25
"Hicks, Harris and Hicks",1,1,1,5501.56,5501.56,80.0,27,2021-02-12,2021-02-12
"Hicks, Knight Gonzalez and",1,1,1,9853.71,9853.71,65.0,14,2020-09-16,2020-09-16
"Hicks, Moon and Ayala",1,1,1,34364.10,34364.05,20.0,18,2020-09-07,2020-09-07
"Hicks, Perez Watkins and",1,1,1,19977.40,19977.38,24.0,8,2020-03-09,2020-03-09
"Hicks, Wilson and Johnson",1,1,1,19934.20,19934.22,65.0,4,2021-11-20,2021-11-20
"Hicks, Yates Morris and",1,1,1,32162.30,32162.29,51.0,10,2021-05-08,2021-05-08
Higgins-Barnes,1,1,1,48902.90,48902.87,52.0,19,2021-07-12,2021-07-12
Higgins-Evans,1,1,1,43750.40,43750.36,57.0,2,2021-02-09,2021-02-09
Higgins-Jenkins,1,1,1,1910.12,1910.12,47.0,2,2023-03-14,2023-03-14
Higgins-Miller,1,1,1,10693.10,10693.06,65.0,23,2024-04-24,2024-04-24
Higgins-Rivera,1,1,1,29580.50,29580.50,50.0,3,2021-02-26,2021-02-26
Higgins-Roberts,1,1,1,32706.80,32706.85,74.0,24,2023-01-08,2023-01-08
Higgins-Sosa,1,1,1,43505.90,43505.91,47.0,1,2020-03-22,2020-03-22
"Higgins and Baker, Dalton",1,1,1,28892.60,28892.64,82.0,7,2023-01-02,2023-01-02
"Higgins and Berry, Boone",1,1,1,6154.66,6154.66,67.0,6,2022-11-30,2022-11-30
"Higgins and Garcia Cooper,",1,1,1,23024.70,23024.68,72.0,6,2023-11-17,2023-11-17
"Higgins and Lopez, Turner",1,1,1,38472.20,38472.17,40.0,29,2023-04-17,2023-04-17
"Higgins and Wells, King",2,1,1,82306.90,41153.45,26.0,25,2023-08-29,2023-08-29
"Higgins Cruz Cook, and",1,1,1,39586.10,39586.12,51.0,27,2020-12-28,2020-12-28
"Higgins Goodwin Martinez, and",1,1,1,48823.90,48823.85,76.0,18,2023-10-30,2023-10-30
Higgins Group,3,3,3,82040.70,27346.91,42.0,13,2020-12-29,2022-09-27
Higgins Inc,3,3,3,72068.40,24022.80,36.0,23,2020-12-03,2022-03-29
Higgins LLC,1,1,1,34754.10,34754.06,24.0,22,2019-11-19,2019-11-19
Higgins Ltd,2,2,1,69349.10,34674.55,52.5,10,2020-05-10,2022-11-11
"Higgins Sherman, and Walton",2,1,1,97662.90,48831.45,67.5,18,2023-04-25,2023-04-25
"Higgins Singh and Pacheco,",1,1,1,7940.76,7940.76,18.0,24,2020-03-19,2020-03-19
"Higgins Thomas, and Esparza",1,1,1,45755.50,45755.49,75.0,27,2021-09-22,2021-09-22
"Higgins, and Martinez Stevens",1,1,1,10873.80,10873.84,55.0,21,2020-02-03,2020-02-03
"Higgins, and Mccann Odom",1,1,1,18868.30,18868.28,39.0,20,2024-04-15,2024-04-15
"Higgins, Wong and Turner",1,1,1,26105.80,26105.77,75.0,30,2020-07-20,2020-07-20
Hill-Adams,2,1,1,89903.30,44951.66,82.5,11,2019-10-05,2019-10-05
Hill-Aguilar,1,1,1,17648.80,17648.76,28.0,28,2022-08-22,2022-08-22
Hill-Anderson,4,3,3,74212.10,18553.03,38.5,6,2020-01-07,2022-10-01
Hill-Ashley,2,1,1,76895.00,38447.51,22.0,10,2024-03-12,2024-03-12
Hill-Baker,1,1,1,32221.00,32220.99,56.0,19,2020-12-21,2020-12-21
Hill-Barrera,1,1,1,6014.02,6014.02,71.0,22,2023-06-17,2023-06-17
Hill-Beasley,1,1,1,9610.58,9610.58,58.0,25,2021-04-07,2021-04-07
Hill-Bell,1,1,1,26125.80,26125.77,20.0,26,2022-01-14,2022-01-14
Hill-Bennett,1,1,1,38191.60,38191.56,38.0,3,2019-06-20,2019-06-20
Hill-Bowman,1,1,1,40700.10,40700.10,57.0,26,2022-05-27,2022-05-27
Hill-Brown,2,2,2,65769.10,32884.54,62.0,8,2023-03-31,2024-04-08
Hill-Caldwell,1,1,1,17955.00,17955.00,31.0,17,2020-01-18,2020-01-18
Hill-Chambers,1,1,1,13058.00,13058.03,80.0,11,2021-02-26,2021-02-26
Hill-Cox,1,1,1,16619.70,16619.65,64.0,12,2022-09-13,2022-09-13
Hill-Davis,2,2,2,67134.90,33567.45,52.0,18,2021-09-13,2022-03-22
Hill-Duran,2,1,1,59237.80,29618.89,52.5,17,2023-01-30,2023-01-30
Hill-Ellis,1,1,1,49861.80,49861.78,55.0,6,2019-09-06,2019-09-06
