"Hospital","Medical Condition","patient_count","average_patient_age","total_billing_amount","average_billing_amount","average_length_of_stay"
Miller-Romero,Asthma,1,18,5471.76,5471.76,22
Miller-Ross,Diabetes,1,30,39083.80,39083.83,18
Miller-Roy,Asthma,1,73,34449.10,34449.09,25
Miller-Sanchez,Diabetes,1,53,10684.10,10684.08,17
Miller-Santiago,Hypertension,1,46,41030.20,41030.24,26
Miller-Sharp,Cancer,1,28,10281.00,10281.04,4
Miller-Shepherd,Cancer,1,29,33582.00,33582.02,9
Miller-Sherman,Hypertension,2,60,18512.20,9256.12,11
Miller-Smith,Arthritis,2,50,29704.30,14852.15,25
Miller-Smith,Asthma,2,37,59311.70,29655.83,10
Miller-Smith,Diabetes,2,55,78669.80,39334.91,17
Miller-Stanley,Diabetes,1,38,19724.90,19724.90,30
Miller-Stanton,Arthritis,1,18,40326.10,40326.06,20
Miller-Suarez,Diabetes,1,85,41007.70,41007.68,28
Miller-Sullivan,Cancer,1,69,17845.80,17845.85,18
Miller-Taylor,Asthma,1,30,3885.68,3885.68,12
Miller-Taylor,Hypertension,1,54,38322.10,38322.10,19
Miller-Thomas,Arthritis,1,32,13574.20,13574.20,20
Miller-Thomas,Diabetes,2,54,64330.90,32165.43,8
Miller-Thomas,Hypertension,2,20,38234.70,19117.37,16
Miller-Torres,Hypertension,1,39,25542.40,25542.45,6
Miller-Trujillo,Arthritis,1,78,42058.60,42058.63,24
Miller-Turner,Cancer,1,84,43943.20,43943.23,15
Miller-Turner,Hypertension,1,21,8401.15,8401.15,27
Miller-Vang,Diabetes,1,19,20846.80,20846.84,26
Miller-Vargas,Cancer,1,30,34201.30,34201.34,23
Miller-Vega,Asthma,1,79,22394.70,22394.69,3
Miller-Wagner,Cancer,1,32,46066.20,46066.22,4
Miller-Walker,Obesity,1,51,43920.70,43920.66,25
Miller-White,Cancer,1,25,25102.90,25102.90,28
Miller-Whitehead,Cancer,1,68,28538.00,28537.99,28
Miller-Williams,Arthritis,1,28,30397.10,30397.05,30
Miller-Williams,Cancer,1,81,36713.10,36713.08,6
Miller-Williamson,Diabetes,1,18,17676.60,17676.59,30
Miller-Willis,Arthritis,2,21,16542.50,8271.27,12
Miller-Wilson,Obesity,1,30,15170.30,15170.34,22
Miller-Yang,Arthritis,1,21,30829.40,30829.44,18
Miller-Yang,Asthma,1,29,15032.00,15032.04,13
Miller-Young,Asthma,2,24,89644.90,44822.46,20
Miller-Young,Obesity,1,31,21888.40,21888.39,29
Miller-Zhang,Cancer,1,31,20306.50,20306.47,14
"Miller Adams, Stokes and",Diabetes,1,66,45573.90,45573.92,8
"Miller and Bailey Sullivan,",Asthma,1,77,25293.20,25293.17,7
"Miller and Barber Garcia,",Cancer,1,21,23177.60,23177.63,4
"Miller and Beltran Edwards,",Hypertension,1,20,37578.00,37578.02,14
"Miller and Brown Hurst,",Arthritis,1,27,2407.52,2407.52,24
"Miller and Bullock Leonard,",Hypertension,2,38,76520.80,38260.42,29
"Miller and Davis Brown,",Diabetes,1,42,29585.20,29585.24,3
"Miller and Fernandez, Daugherty",Asthma,1,77,33112.30,33112.32,17
"Miller and Gibson, Martinez",Hypertension,1,68,24886.80,24886.84,8
"Miller and Glover, Gonzalez",Arthritis,1,61,20220.60,20220.61,9
"Miller and Gomez, Gross",Arthritis,1,25,34924.40,34924.44,14
"Miller and Greene, Patel",Hypertension,1,23,4878.42,4878.42,15
"Miller and Herrera, Howell",Diabetes,1,25,40863.90,40863.87,7
"Miller and Hill Smith,",Hypertension,1,70,34012.30,34012.32,9
"Miller and Huang Stevenson,",Hypertension,1,47,35798.50,35798.51,21
"Miller and Jenkins, Mcintyre",Asthma,1,33,16754.70,16754.73,22
"Miller and Jensen, Turner",Hypertension,1,46,6246.37,6246.37,2
"Miller and Little Gray,",Diabetes,1,59,47673.60,47673.57,14
"Miller and Mendoza Lopez,",Arthritis,1,28,40056.20,40056.23,2
"Miller and Mueller Hernandez,",Obesity,1,81,47744.20,47744.25,20
"Miller and Oconnor Spencer,",Diabetes,1,28,49307.80,49307.79,21
"Miller and Perez Wood,",Asthma,2,17,75530.70,37765.35,10
"Miller and Ramirez, Allen",Cancer,1,41,28531.20,28531.22,27
"Miller and Ray Martinez,",Cancer,1,46,34462.20,34462.21,1
"Miller and Reynolds, Paul",Obesity,1,38,36139.30,36139.31,20
"Miller and Riley, Gillespie",Asthma,1,65,7921.66,7921.66,2
"Miller and Shepard, Zuniga",Diabetes,1,22,27399.40,27399.36,8
"Miller and Singleton Phelps,",Hypertension,1,84,37947.80,37947.84,9
Miller and Sons,Asthma,2,50,48023.00,24011.50,22
Miller and Sons,Cancer,1,77,44649.80,44649.83,17
Miller and Sons,Obesity,1,49,33395.10,33395.10,20
"Miller and Tapia White,",Asthma,2,44,32813.30,16406.63,25
"Miller and Tate, Rubio",Diabetes,1,32,47683.10,47683.12,19
"Miller and Thompson, Diaz",Diabetes,1,24,6114.15,6114.15,17
"Miller and Tucker, Byrd",Hypertension,2,48,82629.50,41314.77,27
"Miller and Williams Rivera,",Cancer,1,73,28159.10,28159.10,10
"Miller and Williams, Fowler",Asthma,2,85,32077.00,16038.52,15
"Miller and Williams, Pierce",Cancer,1,22,15853.70,15853.68,21
"Miller and Wright Ellis,",Diabetes,1,64,15200.70,15200.71,27
"Miller Avila, and Rodriguez",Hypertension,1,41,15866.30,15866.26,7
"Miller Bailey, and Anderson",Cancer,1,53,13091.80,13091.80,24
"Miller Bailey, Bryant and",Hypertension,1,43,48217.20,48217.24,5
"Miller Barnett Everett, and",Asthma,1,43,14962.50,14962.55,26
"Miller Bauer Thomas, and",Asthma,1,47,20139.00,20139.03,25
"Miller Bell, Owen and",Arthritis,1,19,24758.90,24758.86,21
"Miller Blair, and Williams",Obesity,1,75,20721.50,20721.51,19
"Miller Blake Davis, and",Obesity,1,28,1687.36,1687.36,9
"Miller Bowman, and Bradford",Diabetes,1,76,44038.10,44038.08,24
"Miller Burns Miller, and",Hypertension,1,57,34707.00,34707.00,25
"Miller Burns Myers, and",Diabetes,1,22,42640.80,42640.77,15
"Miller Castillo Vasquez, and",Hypertension,2,79,4776.70,2388.35,22
"Miller Chen, Dean and",Arthritis,1,39,10342.10,10342.13,2
"Miller Clark Massey, and",Obesity,1,50,31332.10,31332.06,8
"Miller Clay, Hart and",Obesity,1,40,47281.10,47281.11,19
"Miller Conway and Cooper,",Asthma,1,61,10957.70,10957.74,25
"Miller Cortez Nguyen, and",Obesity,1,69,35925.70,35925.73,25
"Miller Cross, and Bailey",Obesity,1,46,12798.50,12798.49,25
"Miller Dean, and Mcclure",Asthma,1,18,3228.11,3228.11,25
"Miller Delgado and Williams,",Arthritis,1,21,22641.70,22641.67,4
"Miller Duarte, Rhodes and",Obesity,2,35,16588.70,8294.35,17
"Miller English Brady, and",Arthritis,1,38,34356.70,34356.69,8
"Miller Evans, Gonzalez and",Diabetes,1,44,31961.40,31961.43,25
"Miller Freeman and Patrick,",Diabetes,1,60,47881.90,47881.94,12
"Miller Green Calderon, and",Diabetes,1,65,42816.30,42816.33,20
Miller Group,Arthritis,2,47,49969.60,24984.78,21
Miller Group,Cancer,3,28,109802.00,36600.70,16
Miller Group,Hypertension,4,44,124565.00,31141.25,17
Miller Group,Obesity,5,58,94491.90,23622.97,14
"Miller Hall Clark, and",Arthritis,1,30,3060.38,3060.38,7
"Miller Hanson, and Burns",Cancer,1,18,23583.70,23583.73,17
"Miller Hartman, Flores and",Cancer,1,43,28930.90,28930.87,16
"Miller Haynes and Berger,",Asthma,1,70,26588.50,26588.51,8
"Miller Hogan, and Wilson",Hypertension,1,29,37837.40,37837.38,26
"Miller Hudson, Taylor and",Asthma,1,85,36277.20,36277.22,12
Miller Inc,Arthritis,3,44,126063.00,42020.94,12
Miller Inc,Asthma,1,34,37376.50,37376.49,19
Miller Inc,Cancer,3,55,102584.00,34194.58,4
Miller Inc,Diabetes,6,61,171778.00,28629.59,16
Miller Inc,Hypertension,5,42,156037.00,31207.49,22
Miller Inc,Obesity,4,54,99949.70,24987.44,16
"Miller Jackson, and Brown",Hypertension,2,25,41040.50,20520.27,30
"Miller Kelly Barnes, and",Arthritis,1,32,49024.40,49024.41,4
"Miller Kemp and Cross,",Hypertension,2,25,19456.70,9728.37,17
Miller LLC,Arthritis,1,58,44972.20,44972.17,17
Miller LLC,Asthma,4,58,158510.00,39627.53,22
Miller LLC,Diabetes,6,57,104716.00,17452.59,18
Miller LLC,Hypertension,3,32,97222.00,32407.34,16
Miller LLC,Obesity,3,83,59768.70,19922.89,17
Miller Ltd,Arthritis,5,55,122839.00,24567.74,17
Miller Ltd,Asthma,2,64,50191.50,25095.75,22
Miller Ltd,Cancer,1,49,2327.43,2327.43,5
Miller Ltd,Diabetes,4,50,146194.00,36548.59,7
Miller Ltd,Hypertension,2,76,23623.80,11811.91,27
Miller Ltd,Obesity,4,68,112734.00,28183.53,15
"Miller Massey Lopez, and",Asthma,1,57,20508.60,20508.59,13
"Miller Mcclain, Lamb and",Hypertension,1,69,40455.80,40455.79,5
"Miller Miller and Freeman,",Cancer,1,45,41313.50,41313.52,8
"Miller Miller Santos, and",Hypertension,1,32,39324.10,39324.14,25
"Miller Montgomery Allen, and",Diabetes,1,61,8519.00,8519.00,3
"Miller Moore Tran, and",Arthritis,1,46,2191.33,2191.33,25
"Miller Morris, and Zamora",Hypertension,1,30,32061.80,32061.84,28
"Miller Nguyen, Harris and",Obesity,1,65,34362.90,34362.89,11
"Miller Olson, and Collins",Asthma,1,72,7380.73,7380.73,20
"Miller Page, Cole and",Asthma,1,71,10791.50,10791.54,28
"Miller Perry and Simon,",Cancer,1,27,14880.40,14880.36,21
Miller PLC,Arthritis,2,24,43552.00,21776.00,15
Miller PLC,Asthma,4,48,106053.00,26513.33,19
Miller PLC,Cancer,8,58,244693.00,34956.13,11
Miller PLC,Diabetes,1,84,4030.45,4030.45,21
Miller PLC,Obesity,4,44,50828.00,12707.00,26
"Miller Ramirez and King,",Obesity,1,51,37735.60,37735.56,12
"Miller Ramirez, and Howard",Diabetes,2,60,47845.80,23922.92,2
"Miller Reid Davis, and",Arthritis,1,33,39187.90,39187.94,16
"Miller Reyes, and Pugh",Asthma,1,44,16695.60,16695.61,23
"Miller Rivera, and Miller",Obesity,1,68,22020.30,22020.35,13
"Miller Rodriguez, and Lee",Diabetes,1,45,10672.20,10672.17,10
"Miller Santana and Kennedy,",Asthma,1,53,41876.90,41876.90,7
"Miller Smith, and Anderson",Obesity,1,77,10297.50,10297.52,18
Miller Sons and,Asthma,1,84,35441.20,35441.20,9
Miller Sons and,Cancer,1,80,13624.80,13624.83,13
"Miller Spencer Phillips, and",Hypertension,1,80,21274.20,21274.25,10
"Miller Stout and Owens,",Cancer,1,53,17086.30,17086.31,10
"Miller Sullivan, Cooper and",Asthma,1,82,10124.90,10124.86,11
"Miller Tapia Moody, and",Arthritis,1,68,36409.40,36409.43,4
"Miller Taylor and Davis,",Obesity,1,25,47157.50,47157.46,27
"Miller Thomas, and Baker",Cancer,1,51,14243.50,14243.52,26
"Miller Turner, West and",Hypertension,1,58,32190.50,32190.46,7
"Miller Valdez, and Howard",Cancer,1,31,13965.90,13965.88,13
"Miller Wang Sanders, and",Cancer,1,43,43823.80,43823.77,21
"Miller Weeks, Webster and",Cancer,1,68,25305.20,25305.21,22
"Miller, and Alvarez Huff",Hypertension,1,19,17174.20,17174.17,11
"Miller, and Anthony Smith",Arthritis,1,67,18573.10,18573.11,14
"Miller, and Brown Bryant",Obesity,1,45,45685.90,45685.89,21
"Miller, and Clark Williams",Arthritis,1,26,32078.80,32078.83,7
"Miller, and Cruz Tran",Cancer,1,66,37992.00,37991.98,26
"Miller, and Gutierrez Mcmahon",Cancer,1,82,7844.88,7844.88,25
"Miller, and Huber Archer",Obesity,1,25,29027.50,29027.50,19
"Miller, and Johns Ray",Obesity,1,75,21441.70,21441.65,12
"Miller, and Mcgee Ball",Cancer,1,57,38586.90,38586.90,16
"Miller, and Mills Matthews",Diabetes,1,60,12328.20,12328.19,15
"Miller, and Olsen Best",Cancer,1,83,606.07,606.07,11
"Miller, and Porter Harvey",Obesity,1,73,7750.71,7750.71,9
"Miller, and Scott Reynolds",Arthritis,1,23,9450.46,9450.46,28
"Miller, and Stone Weber",Obesity,1,58,41856.00,41855.98,28
"Miller, and Walker Maddox",Diabetes,1,56,15943.80,15943.83,1
"Miller, and Young Rodriguez",Diabetes,1,36,12668.40,12668.42,9
"Miller, Bell and Knapp",Obesity,2,33,7441.76,3720.88,26
"Miller, Braun and Cruz",Diabetes,1,46,14137.20,14137.18,4
"Miller, Cook and Delgado",Cancer,1,71,3026.56,3026.56,28
"Miller, Foster and Evans",Obesity,1,56,14646.70,14646.72,4
"Miller, Gibson and Palmer",Arthritis,1,73,10270.00,10269.96,15
"Miller, Gonzalez and Miranda",Arthritis,2,82,76353.00,38176.51,15
"Miller, Green Barnes and",Arthritis,1,39,25948.20,25948.20,6
"Miller, Griffith and Anderson",Hypertension,1,18,37384.60,37384.60,21
"Miller, Haney and Park",Diabetes,1,39,15681.20,15681.16,5
"Miller, Lang and Reed",Hypertension,1,33,24090.70,24090.70,26
"Miller, Lee Jones and",Obesity,1,21,33546.20,33546.19,25
"Miller, Leonard Johnson and",Hypertension,1,38,39837.70,39837.74,16
"Miller, Martinez and Mueller",Arthritis,1,59,45960.40,45960.42,19
"Miller, Mays and Riggs",Cancer,1,80,10088.70,10088.72,9
"Miller, Miller and Cole",Obesity,1,23,30429.20,30429.21,12
"Miller, Miller and Reynolds",Diabetes,2,72,83365.80,41682.90,17
"Miller, Moon Boyd and",Obesity,1,82,44278.20,44278.23,5
"Miller, Moore and Casey",Diabetes,2,27,66115.10,33057.56,21
"Miller, Nicholson Ortega and",Hypertension,1,42,30297.60,30297.64,17
"Miller, Oneal Best and",Arthritis,1,58,39389.40,39389.38,15
"Miller, Pena Walker and",Arthritis,1,42,37256.80,37256.75,6
"Miller, Peters and Grant",Arthritis,1,54,29873.10,29873.08,30
"Miller, Reynolds Jennings and",Hypertension,1,64,15844.40,15844.40,17
"Miller, Richardson and Craig",Arthritis,2,22,74092.10,37046.05,15
"Miller, Robertson Mckay and",Obesity,2,22,46623.50,23311.77,25
"Miller, Rodriguez and Robinson",Asthma,2,28,21309.50,10654.73,16
"Miller, Simmons and Holland",Obesity,1,29,6874.60,6874.60,23
"Miller, Smith Whitaker and",Cancer,2,34,83841.40,41920.70,22
"Miller, Stein Hicks and",Diabetes,1,77,22218.80,22218.78,11
"Miller, Sullivan and Jarvis",Obesity,1,63,45984.80,45984.83,4
"Miller, Thompson Perkins and",Diabetes,2,75,89597.40,44798.71,10
"Miller, Walton English and",Diabetes,1,38,15948.00,15947.98,16
Mills-Booth,Asthma,1,70,25677.60,25677.57,12
Mills-Brown,Hypertension,1,20,7834.36,7834.36,28
Mills-Bryant,Asthma,1,24,11829.90,11829.92,12
Mills-Cervantes,Arthritis,1,66,8508.63,8508.63,2
Mills-Clark,Cancer,1,60,1856.78,1856.78,23
Mills-Gray,Arthritis,2,24,92362.10,46181.05,30
Mills-Gray,Asthma,2,34,53190.80,26595.40,23
Mills-Jenkins,Arthritis,1,21,48441.60,48441.55,10
Mills-Massey,Hypertension,1,62,12972.90,12972.88,9
Mills-Parker,Cancer,1,73,5100.47,5100.47,13
Mills-Petersen,Hypertension,1,83,46186.20,46186.16,30
Mills-Robinson,Hypertension,1,34,18688.60,18688.56,2
Mills-Rogers,Arthritis,1,65,20840.60,20840.55,19
Mills-Silva,Diabetes,1,53,7819.22,7819.22,3
Mills-Smith,Arthritis,1,65,34221.00,34220.97,4
Mills-Smith,Asthma,1,38,22807.60,22807.56,23
Mills-Wilson,Hypertension,1,74,48044.20,48044.17,2
"Mills and Foster, Cline",Asthma,1,48,16200.90,16200.91,12
"Mills and James, Hansen",Cancer,1,29,19319.60,19319.58,2
"Mills and Mejia Williams,",Cancer,1,28,25419.70,25419.73,3
"Mills and Young, Perry",Hypertension,1,81,48799.40,48799.39,12
"Mills Franco and Trujillo,",Arthritis,1,83,25803.00,25802.99,23
Mills Inc,Cancer,2,47,49154.40,24577.19,7
Mills Ltd,Obesity,2,46,57276.80,28638.42,23
"Mills Martinez, and Rodriguez",Obesity,1,72,28361.20,28361.16,8
"Mills Mason, and Martin",Diabetes,1,53,20914.50,20914.49,4
"Mills Peterson and Jones,",Hypertension,1,52,36477.60,36477.55,8
Mills PLC,Cancer,3,38,38517.00,12838.99,13
Mills PLC,Obesity,1,62,26294.00,26294.03,22
"Mills Sandoval, and Potts",Hypertension,1,71,18553.30,18553.27,6
"Mills Schroeder, and Edwards",Obesity,1,45,37530.10,37530.12,3
Mills Sons and,Arthritis,1,27,21626.60,21626.60,29
Mills Sons and,Hypertension,1,73,34639.60,34639.63,25
"Mills Swanson and Nguyen,",Hypertension,1,47,31403.90,31403.90,23
"Mills, and Sanchez Phillips",Obesity,1,57,4077.16,4077.16,11
"Mills, Hall and Booth",Cancer,1,24,20901.60,20901.57,16
"Mills, Hall Norton and",Diabetes,1,70,18648.50,18648.53,8
"Mills, Johnson Wilson and",Asthma,1,61,23253.40,23253.40,7
"Mills, Jones and Bennett",Asthma,1,77,29890.50,29890.49,2
"Mills, Morgan and White",Diabetes,1,32,31974.20,31974.22,5
"Mills, Thomas and Hall",Asthma,2,29,39971.50,19985.77,9
"Mills, Watts Michael and",Hypertension,1,30,31858.80,31858.84,18
Miranda-Bell,Arthritis,1,81,36917.40,36917.39,4
Miranda-Collins,Arthritis,1,62,43465.90,43465.95,4
Miranda-Conley,Diabetes,1,54,43352.80,43352.83,8
Miranda-David,Diabetes,2,84,30535.70,15267.87,12
Miranda-Davis,Cancer,1,72,22934.00,22933.97,9
Miranda-Elliott,Hypertension,1,61,10332.20,10332.18,29
Miranda-Garrett,Obesity,1,64,7309.76,7309.76,7
Miranda-Hill,Obesity,1,77,49381.60,49381.65,30
Miranda-Mccormick,Obesity,2,42,58614.30,29307.17,6
Miranda-Rodriguez,Arthritis,1,47,7490.07,7490.07,8
Miranda-Shelton,Obesity,1,49,2198.84,2198.84,12
Miranda-Smith,Asthma,1,58,23379.90,23379.92,24
Miranda-Todd,Cancer,1,80,29460.20,29460.16,28
Miranda-Townsend,Asthma,1,75,45149.10,45149.06,18
Miranda-White,Obesity,1,46,23651.80,23651.81,4
"Miranda and Michael, Collins",Cancer,1,77,34151.20,34151.16,13
Miranda Inc,Cancer,1,23,19706.10,19706.11,9
Miranda Inc,Diabetes,1,49,27645.40,27645.36,1
Miranda Inc,Hypertension,1,65,36924.90,36924.86,27
"Miranda Moore and Ryan,",Arthritis,1,26,4153.33,4153.33,13
Miranda PLC,Cancer,2,51,80455.00,40227.51,14
"Miranda Underwood and Miller,",Obesity,1,64,39614.70,39614.72,30
"Miranda, Brown and Wilson",Diabetes,1,82,33606.50,33606.47,5
"Miranda, Keith Cole and",Hypertension,1,69,14353.30,14353.27,4
"Miranda, Terry and Hancock",Asthma,2,17,92907.80,46453.91,24
Mitchell-Armstrong,Arthritis,1,56,45133.60,45133.64,17
Mitchell-Barron,Obesity,1,21,31792.40,31792.38,18
Mitchell-Berg,Asthma,2,87,24734.60,12367.31,27
Mitchell-Brewer,Hypertension,1,20,16901.50,16901.48,1
Mitchell-Campbell,Diabetes,1,82,46950.90,46950.91,6
Mitchell-Chambers,Cancer,1,45,41246.10,41246.12,10
Mitchell-Clark,Asthma,1,37,28705.20,28705.20,11
Mitchell-Clayton,Cancer,1,52,20189.50,20189.50,16
Mitchell-Cline,Asthma,1,33,8495.55,8495.55,19
Mitchell-Cooper,Arthritis,1,62,18081.60,18081.59,23
Mitchell-Crawford,Cancer,1,35,28106.50,28106.50,18
Mitchell-Cross,Diabetes,1,53,30449.50,30449.53,24
Mitchell-Duran,Obesity,1,38,4995.92,4995.92,15
Mitchell-Durham,Arthritis,1,79,33165.40,33165.38,8
Mitchell-Ford,Asthma,1,49,26816.20,26816.19,11
Mitchell-Garcia,Obesity,1,27,22957.00,22957.00,28
Mitchell-Gibson,Diabetes,1,50,9757.40,9757.40,9
Mitchell-Gomez,Obesity,1,54,44515.80,44515.79,9
Mitchell-Green,Asthma,1,51,11814.80,11814.76,18
Mitchell-Hart,Arthritis,1,65,40021.80,40021.83,14
Mitchell-Hawkins,Arthritis,1,31,48824.20,48824.20,26
Mitchell-Hernandez,Obesity,1,61,40375.40,40375.45,10
Mitchell-Hicks,Diabetes,1,73,45644.80,45644.75,29
Mitchell-Hoffman,Diabetes,1,68,26346.40,26346.41,14
Mitchell-Holt,Diabetes,2,78,36166.00,18083.01,6
Mitchell-Jackson,Cancer,1,69,44807.60,44807.61,7
Mitchell-Jimenez,Asthma,1,32,30376.30,30376.26,21
Mitchell-Johnson,Diabetes,1,27,49284.00,49284.02,6
Mitchell-Kelly,Hypertension,1,40,34890.60,34890.62,6
Mitchell-Lowery,Hypertension,2,80,85135.60,42567.78,17
Mitchell-Martinez,Arthritis,1,30,8034.42,8034.42,6
Mitchell-Matthews,Diabetes,1,64,4913.35,4913.35,18
Mitchell-Murphy,Arthritis,1,51,9596.09,9596.09,20
Mitchell-Navarro,Asthma,1,84,19973.50,19973.46,25
Mitchell-Odonnell,Hypertension,1,36,7344.44,7344.44,12
Mitchell-Parker,Obesity,1,85,49647.10,49647.14,25
Mitchell-Patterson,Cancer,1,80,50194.60,50194.59,4
Mitchell-Pena,Arthritis,1,33,11532.30,11532.27,11
Mitchell-Pope,Cancer,1,28,39002.80,39002.81,3
Mitchell-Rodriguez,Cancer,1,19,46899.00,46899.01,6
Mitchell-Rogers,Arthritis,1,22,13007.90,13007.89,29
Mitchell-Rose,Diabetes,1,46,11592.80,11592.78,22
Mitchell-Ryan,Cancer,1,35,10499.00,10498.99,6
Mitchell-Sharp,Arthritis,1,25,17640.60,17640.56,11
Mitchell-Smith,Hypertension,1,62,41549.00,41548.97,22
Mitchell-Snyder,Hypertension,2,28,24450.80,12225.40,13
Mitchell-Sullivan,Cancer,1,36,11845.00,11844.97,3
Mitchell-Sullivan,Diabetes,1,43,18798.70,18798.74,20
Mitchell-Thomas,Asthma,1,66,30074.10,30074.09,17
Mitchell-Townsend,Asthma,1,19,13143.90,13143.92,5
Mitchell-Webb,Asthma,1,72,34790.10,34790.11,28
Mitchell-Williams,Asthma,1,67,9116.00,9116.00,10
Mitchell-Wilson,Asthma,1,30,37866.40,37866.37,10
Mitchell-Wright,Cancer,1,61,21057.70,21057.65,12
"Mitchell and Davis, Banks",Arthritis,1,33,29803.40,29803.36,16
"Mitchell and Harris, Compton",Hypertension,1,43,35801.70,35801.70,7
Mitchell and Sons,Asthma,1,36,5854.76,5854.76,13
Mitchell and Sons,Diabetes,3,60,33394.20,11131.41,15
"Mitchell Brown and Rice,",Arthritis,1,37,29993.40,29993.38,4
"Mitchell Chapman, Johnson and",Cancer,1,84,9856.10,9856.10,17
"Mitchell Davis and Anderson,",Diabetes,1,51,24191.70,24191.65,27
"Mitchell Espinoza, and Campos",Diabetes,1,51,23956.40,23956.43,13
"Mitchell Fields, and Smith",Asthma,1,20,26852.20,26852.17,22
"Mitchell Gordon, Caldwell and",Diabetes,1,63,13027.00,13027.04,15
Mitchell Group,Diabetes,2,34,51283.60,25641.78,12
Mitchell Group,Hypertension,2,83,99170.70,49585.36,12
Mitchell Group,Obesity,1,62,30151.70,30151.72,13
"Mitchell Hansen, Bray and",Asthma,1,72,15504.70,15504.72,18
Mitchell Inc,Diabetes,4,65,76473.90,19118.48,18
Mitchell Inc,Hypertension,2,66,64818.10,32409.07,15
Mitchell Inc,Obesity,4,55,62522.50,15630.62,16
"Mitchell James Castro, and",Obesity,1,37,4930.54,4930.54,2
"Mitchell Kirby and Bradley,",Diabetes,1,45,26851.60,26851.61,1
Mitchell LLC,Arthritis,1,33,21709.40,21709.37,12
Mitchell LLC,Hypertension,3,58,46786.40,15595.48,5
Mitchell Ltd,Arthritis,1,67,42948.00,42947.98,29
Mitchell Ltd,Cancer,2,31,15253.30,7626.65,23
Mitchell Ltd,Diabetes,1,31,24473.70,24473.68,12
Mitchell Ltd,Hypertension,1,58,49440.30,49440.26,19
Mitchell Ltd,Obesity,1,77,20036.80,20036.77,6
"Mitchell Miller, Moore and",Diabetes,1,38,40341.70,40341.68,13
"Mitchell Murray Ramirez, and",Hypertension,1,85,22577.50,22577.49,7
"Mitchell Nelson and Romero,",Cancer,1,22,41959.60,41959.64,1
"Mitchell Newton, Fisher and",Arthritis,1,54,38641.10,38641.08,16
"Mitchell Phillips, Hernandez and",Obesity,1,47,20010.60,20010.56,12
Mitchell PLC,Asthma,2,69,28460.20,14230.11,13
Mitchell PLC,Cancer,1,84,30860.40,30860.42,16
Mitchell PLC,Diabetes,2,54,73099.40,36549.72,10
"Mitchell Russo, and Gould",Diabetes,1,38,44729.30,44729.26,16
"Mitchell Sanders, and Beasley",Diabetes,2,25,86000.90,43000.47,1
Mitchell Sons and,Arthritis,1,44,10607.40,10607.36,5
Mitchell Sons and,Hypertension,2,32,6019.50,3009.75,6
"Mitchell Stout, Rangel and",Cancer,1,59,26738.90,26738.93,13
"Mitchell Velasquez Walsh, and",Cancer,1,64,28344.70,28344.66,20
"Mitchell Watson, and Goodwin",Arthritis,2,25,43798.90,21899.44,13
"Mitchell, Adams and Graham",Diabetes,1,31,23524.30,23524.32,6
"Mitchell, and Garcia Saunders",Cancer,1,57,5919.30,5919.30,12
"Mitchell, Boyd Lopez and",Cancer,1,64,45943.30,45943.30,14
"Mitchell, Carey Cole and",Hypertension,1,39,48432.00,48432.03,23
"Mitchell, Martinez Tanner and",Obesity,2,31,52022.90,26011.43,9
"Mitchell, Rogers and Wilson",Diabetes,1,58,16037.30,16037.33,24
"Mitchell, Vasquez and Chaney",Hypertension,1,27,47735.40,47735.38,9
"Mitchell, Williams Nguyen and",Asthma,2,47,53336.20,26668.10,17
Molina-Ayers,Diabetes,1,28,12708.20,12708.16,13
Molina-Bowman,Hypertension,1,62,31804.50,31804.49,9
Molina-Clark,Hypertension,1,59,38678.30,38678.31,23
Molina-Dunlap,Arthritis,1,45,5707.04,5707.04,5
Molina-Garcia,Cancer,1,40,7438.02,7438.02,18
Molina-Green,Arthritis,1,61,2292.54,2292.54,7
Molina-Harvey,Obesity,1,56,27054.30,27054.30,15
Molina-Hines,Obesity,1,82,7948.39,7948.39,13
Molina-Hood,Diabetes,1,61,21508.30,21508.34,7
Molina-Jones,Cancer,1,24,7343.59,7343.59,26
Molina-Moore,Cancer,2,73,70663.00,35331.48,26
Molina-Phelps,Diabetes,2,53,10542.30,5271.15,12
Molina-Phillips,Cancer,1,59,31579.60,31579.60,25
Molina-Taylor,Obesity,1,61,2774.99,2774.99,22
Molina-Torres,Cancer,1,21,30857.90,30857.91,9
"Molina Butler and Cherry,",Hypertension,1,74,19773.40,19773.42,21
Molina Group,Asthma,2,28,41456.00,20728.02,7
Molina Group,Diabetes,1,71,20609.70,20609.66,9
Molina Group,Hypertension,3,68,88641.60,29547.20,27
Molina LLC,Cancer,1,67,11209.10,11209.10,3
"Molina Phillips, Santiago and",Obesity,1,56,5005.85,5005.85,17
"Molina Reyes and White,",Hypertension,1,80,41633.10,41633.14,4
"Molina, and Gilbert Branch",Arthritis,1,65,6637.15,6637.15,29
"Molina, Rogers and Horton",Cancer,1,59,3915.23,3915.23,18
Monroe-George,Asthma,1,30,16864.80,16864.81,8
Monroe-Johns,Cancer,1,22,25836.10,25836.13,5
Monroe-Leon,Arthritis,1,67,2288.81,2288.81,30
Monroe-Martinez,Cancer,1,21,35153.70,35153.69,5
Monroe-Mcclure,Hypertension,2,69,79037.00,39518.50,13
Monroe-Morris,Arthritis,1,40,37657.60,37657.55,9
